Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Remap_Ctx,Remap_Two_Pair,Remap_One_Pair,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Pre_Trial_Circle_Frame_Hand.started,Pre_Trial_Circle_Frame_Hand.stopped,Symbol,ctx,Stim_Type,Finger,Block_Type,Remap,Repeat_Count,Trial_Count,Grp_B,Brp_R,Block_Num,Set_Prep_Time,Session,Pre_Trial_HandShape.started,Pre_Trial_HandShape.stopped,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,h,red,media/djnb.png,media/djnb_r.png,media/djnb_g.png,-0.038,0.075,media/hand.png,media/check.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_09_1254,Context_Learning_Pilot,2020.1.3,59.91823557743472,
1,u,red,media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,0.014,0.1,media/hand.png,media/cross.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_09_1254,Context_Learning_Pilot,2020.1.3,59.91823557743472,
2,i,red,media/dinb.png,media/dinb_r.png,media/dinb_g.png,0.057,0.08,media/hand.png,media/check.png,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_09_1254,Context_Learning_Pilot,2020.1.3,59.91823557743472,
3,l,red,media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,0.1,0.04,media/hand.png,media/cross.png,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_09_1254,Context_Learning_Pilot,2020.1.3,59.91823557743472,
0,h,green,media/djnb.png,media/djnb_r.png,media/djnb_g.png,-0.038,0.075,media/hand.png,media/check.png,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_09_1254,Context_Learning_Pilot,2020.1.3,59.91823557743472,
1,u,green,media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,0.014,0.1,media/hand.png,media/cross.png,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_09_1254,Context_Learning_Pilot,2020.1.3,59.91823557743472,
2,i,green,media/dinb.png,media/dinb_r.png,media/dinb_g.png,0.057,0.08,media/hand.png,media/check.png,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_09_1254,Context_Learning_Pilot,2020.1.3,59.91823557743472,
3,l,green,media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,0.1,0.04,media/hand.png,media/cross.png,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_09_1254,Context_Learning_Pilot,2020.1.3,59.91823557743472,
,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,"(0, 2, 1, 3)","(2, 3, 0, 1)","[2, 3, 0, 1]","[0, 2, 1, 3]",1,0,0,8.629091500013601,None,space,0.8706367999839131,8.629091500013601,None,9.570352600014303,None,h,0.2091528000019025,9.570352600014303,None,9.83951839999645,None,2,0,Hand,i,RT,0,0,0,1,0,1,0,1,9.83951839999645,None,10.050860000017565,None,i,1,0.36093540000729263,10.050860000017565,None,10.050860000017565,None,10.050860000017565,None,10.441765800002031,None,10.441765800002031,None,2,1,2020_Dec_09_1254,Context_Learning_Pilot,2020.1.3,59.91823557743472,
,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,10.766836099995999,None,1,0,Hand,u,RT,0,0,1,1,0,1,0,1,10.766836099995999,None,10.982706100010546,None,u,1,0.32500479998998344,10.982706100010546,None,10.982706100010546,None,10.982706100010546,None,11.334253200009698,None,11.334253200009698,None,2,1,2020_Dec_09_1254,Context_Learning_Pilot,2020.1.3,59.91823557743472,
,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,11.650820300012128,None,0,0,Hand,h,RT,0,0,2,1,0,1,0,1,11.650820300012128,None,11.868654799996875,None,h,1,0.31082390001392923,11.868654799996875,None,11.868654799996875,None,11.868654799996875,None,12.20351320001646,None,12.20351320001646,None,2,1,2020_Dec_09_1254,Context_Learning_Pilot,2020.1.3,59.91823557743472,
,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,12.51541590000852,None,3,0,Hand,l,RT,0,0,3,1,0,1,0,1,12.51541590000852,None,12.737456000002567,None,i,0,0.25907630001893267,12.737456000002567,None,12.737456000002567,None,12.737456000002567,None,13.020510100002866,None,13.020510100002866,None,2,1,2020_Dec_09_1254,Context_Learning_Pilot,2020.1.3,59.91823557743472,
